index,date,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
211,2017-09-15,14,0,0,5.434056776556777,770.88,217180,957120,817,4,3,7,0.0018271879465316676,up
212,2017-09-18,5,0,0,6.551578787878789,240.20000000000002,44919,235174,228,5,0,0,0.000543497126710964,up
213,2017-09-19,9,1,0,6.106923971861471,455.48,133425,527824,447,8,0,0,0.00014358394056568013,up
214,2017-09-20,26,7,2,5.76774796784412,1454.89,227937,879232,1490,16,2,8,0.0005584329079071722,up
215,2017-09-21,9,0,0,5.847674603174603,504.88000000000005,73053,394656,520,7,0,2,-0.0026164322301912217,down
216,2017-09-22,11,2,0,5.626265512265513,549.1799999999998,132170,559620,592,5,2,3,0.001986161224757698,up
217,2017-09-25,9,1,0,5.409812331309042,496.08,235158,926179,536,4,1,3,-0.0010922589579344005,down
218,2017-09-26,21,1,4,5.5725590956662385,1277.3800000000003,191017,913864,1347,12,2,7,-0.0016792817925775142,down
219,2017-09-27,12,0,1,5.839246553884711,966.4,151082,727516,950,10,0,2,0.0014940238592229718,up
220,2017-09-28,8,2,0,5.668966727716727,493.7799999999999,89087,368667,513,6,1,1,0.002656435515463372,up
221,2017-09-29,12,1,0,5.682837962962963,615.01,110033,490563,634,9,0,3,0.0037451378293121506,up
222,2017-10-02,2,0,0,6.504848484848484,79.48000000000002,69375,331183,82,1,0,1,0.0031414271592615684,up
223,2017-10-03,4,0,0,6.378551587301587,208.04,60738,328142,196,4,0,0,0.001675660129682945,up
224,2017-10-04,13,5,1,5.830371406371406,814.6399999999999,169611,651491,822,10,0,3,0.0016814855588477813,up
225,2017-10-05,10,4,0,5.526078615502145,581.8,129794,509535,627,4,2,4,0.0044118765016290685,up
226,2017-10-06,3,2,0,5.216060606060606,134.68,36703,77247,152,1,1,1,0.0007419750980499633,up
227,2017-10-09,3,0,0,5.678,182.29999999999995,46039,240499,187,3,0,0,-0.002610307824089182,down
228,2017-10-10,11,2,1,5.645379879923997,622.86,163797,651858,634,7,1,3,0.00025486492203837815,up
229,2017-10-11,15,1,1,5.62516168091168,940.3,179839,845697,995,7,1,7,0.0018112744305621906,up
230,2017-10-12,12,2,1,5.766421296296296,551.2199999999999,117034,502714,580,8,2,2,-0.000763824029867057,down
231,2017-10-13,13,1,0,5.534389906389905,643.3800000000001,162159,679569,680,7,3,2,-0.000974304127207374,down
232,2017-10-16,9,2,0,5.48685877085877,555.0399999999998,112801,502283,589,4,1,4,0.000809926922340224,up
233,2017-10-17,9,1,0,5.918980158730159,365.52,93069,387350,375,5,1,3,0.0008564878622875999,up
234,2017-10-18,17,0,0,5.621107725607725,917.5600000000002,217676,938346,957,10,1,6,-0.0006282436980790724,down
235,2017-10-19,7,1,1,5.619115218115218,378.22,115190,407866,394,4,0,3,0.0034112318780138056,up
236,2017-10-20,11,0,0,5.807257907125554,642.79,131490,616294,674,6,1,4,0.002979444228844857,up
237,2017-10-23,4,0,0,5.159439935064935,269.96,66725,336116,299,0,1,3,-0.00508133867205652,down
238,2017-10-24,8,0,0,5.5626250000000015,537.46,94124,466696,565,5,2,1,0.00018296349695962868,up
239,2017-10-25,13,0,0,5.814311356064749,746.3199999999999,139440,666207,760,11,1,1,-0.0036509039193077563,down
240,2017-10-26,11,3,1,5.558997139224412,487.86000000000007,113054,442510,520,5,1,5,0.00012492734221423573,up
241,2017-10-27,15,0,1,6.1101800386976866,797.96,136409,672849,786,11,1,3,0.004205822740867383,up
242,2017-10-30,4,0,0,5.4659615384615385,159.16000000000003,81416,310592,177,2,2,0,-0.0019086109979633567,down
243,2017-10-31,15,1,0,5.574701648351647,838.5799999999999,178718,774595,902,5,3,7,-0.00028337843036419126,down
244,2017-11-01,15,0,0,5.37958011701184,807.5699999999999,193383,869079,879,4,0,10,-0.0014903372385997274,down
245,2017-11-02,14,0,0,5.773415804783453,812.64,164531,804173,851,10,2,2,0.00015124755022311736,up
246,2017-11-03,20,0,0,5.464654825076884,1231.04,314181,1403689,1325,6,1,13,0.0022890458516129533,up
247,2017-11-06,7,0,0,5.7442808302808315,385.84,215659,427903,392,5,0,1,0.001414475159526256,up
